blood_frac_conc,brain_conc,brain_binding,plasma_protein_binding,kpuu,100nM_PgP,1uM_PgP,100nM_BCRP,1uM_PgP_qsar,100_nM_Mouse_BCRP_qsar,qsar_mrt
0.228355556,0.093111111,0.0736,17.79240247,0.168668176,4.371,4.46,2.24,1.94,4.5,2.15
9.272633148,0.988817333,0.0455,12.27,0.342144896,7.146,2.15,2.55975,2.44,4.7,1.47
0.767,1.028808,0.0359,23.23333333,0.120657072,16.384,18.73463571,0.654,47.9,1.2,1.25
0.099178462,0.060001333,0.0358,0.988,1,1.592,3.056991689,1.629,6.8,2.3,0.767
0.030033333,0.053983333,0.0314,9.627768626,0.58621937,4.274,3.0725,4.097,5.87,4.7,2.39
0.236944444,0.005975083,0.2035,43.221,0.03370515,15.92733333,16.04162654,4.324,17.5,4,1.29
0.220911111,0.344744444,0.010866667,4.968,0.34134573,1.211333333,1.292333333,3.525333333,3.03,6.4,3.69
0.12336,0.290462,0.038,9.772058751,0.140703742,1.943,2.372,0.921,4.48,1.7,1.23
0.086585556,1.141409678,0.0027,2.038,0.160594543,0.658,1.038164939,4.553,9.35,2.8,3.01
0.892118167,2.3039045,0.2493,4.430931557,1,0.481,0.55,17.253,0.672,1.1,0.782
1.3666526,0.280642667,0.013,13.68,0.241922872,2.289,0.95,4.942,1.88,7.2,0.846
0.031956667,0.101335556,0.0586,12.95988942,1,0.616,0.725,0.812,0.849,1.3,0.758
26.842737,1.128517667,0.0474,1.296163753,0.381990829,17.286,1.8,10.111,1.7,9.7,2.2
1.944531037,0.190653519,0.0069,13.68,0.039352276,1.592,1.5,0.551,12.5,2.8,2.66
0.203213708,0.377902333,0.0008,0.719384929,1,3.3745,1.9,0.952,3.04,0.99,4.16
0.247290625,0.17682325,0.00724,0.871946485,0.04167098,3.519666667,1.1,1.405,4.55,4.8,3.27
1.029333333,3.89,0.014563636,4.468,1,0.544333333,0.506247897,16.483,0.619,6.4,1.03
0.153290556,0.054625375,0.0056,4.187844472,0.016895828,2.262,1.2,3.497,1.51,2.2,8.64
0.10874125,0.163238583,0.0621,19.13644237,1,1.122333333,1.5,1.075,3.08,0.89,7.13
1.837316167,0.612531,0.19115,73.35,0.646394035,2.619,0.993438745,8.364,8.13,13,1.58
0.903046833,0.248539,0.10375,11.19890997,0.099381894,0.978,2.015436913,1.5755,2.7,0.98,0.619
13.1268825,10.33518228,0.0003,37.89361132,0.443555006,7.726,2,47.007,5.75,6.7,3.44
0.0678765,0.355377,0.0007,0.831,0.110501009,0.561,0.5,2.108,2.72,1.1,2.48
0.305783,0.255743,0.00265,0.146497688,0.662875182,1.264,0.5,1.113,2.47,1.3,8.48
0.163656,0.13305375,0.0027,0.75,0.151917917,0.931,1.4,6.124,3.95,0.9,1.59
0.2823785,1.1209435,0.093,5.672,0.639711757,1.909666667,1.9,3.451,1.4,1,3.11
0.6172425,0.577188833,0.005,2.4015,0.087597132,1.172,1.813469072,3.525333333,1.63,4.3,0.447
0.406544167,0.018551083,0.0293,20.44754468,0.002467442,25.303,17.03333333,0.952,38.7,2.7,1.06
0.848116,0.3151415,0.0091,2.57822238,0.727025448,4.444,2.4,2.174,6.6,3.2,2.26
0.0434265,0.06897725,0.0064,2.941081392,0.037240373,2.971,0.95,2.605,4.48,2.6,1.58
1.297187667,0.1213332,0.0348,9.311816928,1,2.366,2.8,1.237,2.36,4.1,0.49
